"VP_Code","arousal_rating","trials_word.thisIndex","word","code","group","valence_rating","arousal","time"
"AO11DG",6,7,"Ismiprämpf","emo","Control",2,2,"pre"
"AO11DG",4,5,"Preier","emo","Control",0,0,"pre"
"AO11DG",6,4,"Herklögen","emo","Control",2,2,"pre"
"AO11DG",6,20,"Struk","neu","Control",2,2,"pre"
"HY4Kl",5,5,"Preier","emo","Control",1,1,"pre"
"HY4Kl",3,14,"Enkmitas","emo","Control",-1,1,"pre"
"HY4Kl",4,8,"Glühm","neu","Control",0,0,"pre"
"HY4Kl",6,21,"Mölauzegt","neu","Control",2,2,"pre"
"HY4Kl",7,12,"Wupforau","emo","Control",3,3,"pre"
"HY4Kl",5,0,"Vul","neu","Control",1,1,"pre"
"HY4Kl",3,6,"Muschürdur","emo","Control",-1,1,"pre"
"HY4Kl",4,26,"Faube","neu","Control",0,0,"pre"
"HY4Kl",4,25,"Odef","neu","Control",0,0,"pre"
"HY4Kl",5,7,"Ismiprämpf","emo","Control",1,1,"pre"
"HY4Kl",6,23,"Iberletsch","neu","Control",2,2,"pre"
"HY4Kl",3,17,"Plüpp","neu","Control",-1,1,"pre"
"HY4Kl",5,1,"Neif","emo","Control",1,1,"pre"
"HY4Kl",5,24,"Troff","neu","Control",1,1,"pre"
"HY4Kl",5,28,"Bisknirgo","emo","Control",1,1,"pre"
"HY4Kl",6,4,"Herklögen","emo","Control",2,2,"pre"
"HY4Kl",6,18,"Skibt","neu","Control",2,2,"pre"
"HY4Kl",5,16,"Weforshank","neu","Control",1,1,"pre"
"HY4Kl",2,29,"Ferandsor","neu","Control",-2,2,"pre"
"HY4Kl",5,15,"Mege","emo","Control",1,1,"pre"
"HY4Kl",2,9,"Rugliebast","emo","Control",-2,2,"pre"
"HY4Kl",4,11,"Häugnung","neu","Control",0,0,"pre"
"HY4Kl",1,27,"Wunicher","emo","Control",-3,3,"pre"
"HY4Kl",2,2,"Zimerhubst","emo","Control",-2,2,"pre"
"HY4Kl",3,13,"Bismirbiel","emo","Control",-1,1,"pre"
"HY4Kl",6,3,"Zwelde","emo","Control",2,2,"pre"
"HY4Kl",1,10,"Wumeizauch","emo","Control",-3,3,"pre"
"HY4Kl",7,20,"Struk","neu","Control",3,3,"pre"
"HY4Kl",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"HY4Kl",5,19,"Namistell","neu","Control",1,1,"pre"
"RZ10CL",3,6,"Muschürdur","emo","Control",-1,1,"pre"
"RZ10CL",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"RZ10CL",4,0,"Vul","neu","Control",0,0,"pre"
"RZ10CL",5,4,"Herklögen","emo","Control",1,1,"pre"
"RZ10CL",6,12,"Wupforau","emo","Control",2,2,"pre"
"RZ10CL",4,15,"Mege","emo","Control",0,0,"pre"
"RZ10CL",4,5,"Preier","emo","Control",0,0,"pre"
"RZ10CL",3,14,"Enkmitas","emo","Control",-1,1,"pre"
"RZ10CL",4,24,"Troff","neu","Control",0,0,"pre"
"RZ10CL",5,20,"Struk","neu","Control",1,1,"pre"
"RZ10CL",4,16,"Weforshank","neu","Control",0,0,"pre"
"RZ10CL",5,28,"Bisknirgo","emo","Control",1,1,"pre"
"RZ10CL",4,8,"Glühm","neu","Control",0,0,"pre"
"RZ10CL",3,9,"Rugliebast","emo","Control",-1,1,"pre"
"RZ10CL",2,2,"Zimerhubst","emo","Control",-2,2,"pre"
"RZ10CL",5,11,"Häugnung","neu","Control",1,1,"pre"
"RZ10CL",5,1,"Neif","emo","Control",1,1,"pre"
"RZ10CL",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"RZ10CL",6,3,"Zwelde","emo","Control",2,2,"pre"
"RZ10CL",3,27,"Wunicher","emo","Control",-1,1,"pre"
"RZ10CL",5,23,"Iberletsch","neu","Control",1,1,"pre"
"RZ10CL",4,17,"Plüpp","neu","Control",0,0,"pre"
"RZ10CL",4,18,"Skibt","neu","Control",0,0,"pre"
"RZ10CL",4,26,"Faube","neu","Control",0,0,"pre"
"RZ10CL",4,19,"Namistell","neu","Control",0,0,"pre"
"RZ10CL",3,7,"Ismiprämpf","emo","Control",-1,1,"pre"
"RZ10CL",3,29,"Ferandsor","neu","Control",-1,1,"pre"
"RZ10CL",4,13,"Bismirbiel","emo","Control",0,0,"pre"
"RZ10CL",3,10,"Wumeizauch","emo","Control",-1,1,"pre"
"RZ10CL",5,25,"Odef","neu","Control",1,1,"pre"
"MK8MR",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"MK8MR",7,4,"Herklögen","emo","Control",3,3,"pre"
"MK8MR",4,26,"Faube","neu","Control",0,0,"pre"
"MK8MR",6,1,"Neif","emo","Control",2,2,"pre"
"MK8MR",2,27,"Wunicher","emo","Control",-2,2,"pre"
"MK8MR",7,3,"Zwelde","emo","Control",3,3,"pre"
"MK8MR",2,29,"Ferandsor","neu","Control",-2,2,"pre"
"MK8MR",7,16,"Weforshank","neu","Control",3,3,"pre"
"MK8MR",3,10,"Wumeizauch","emo","Control",-1,1,"pre"
"MK8MR",4,17,"Plüpp","neu","Control",0,0,"pre"
"MK8MR",4,13,"Bismirbiel","emo","Control",0,0,"pre"
"MK8MR",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"MK8MR",2,14,"Enkmitas","emo","Control",-2,2,"pre"
"MK8MR",5,19,"Namistell","neu","Control",1,1,"pre"
"MK8MR",2,24,"Troff","neu","Control",-2,2,"pre"
"MK8MR",3,9,"Rugliebast","emo","Control",-1,1,"pre"
"MK8MR",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"MK8MR",3,8,"Glühm","neu","Control",-1,1,"pre"
"MK8MR",6,15,"Mege","emo","Control",2,2,"pre"
"MK8MR",6,12,"Wupforau","emo","Control",2,2,"pre"
"MK8MR",6,20,"Struk","neu","Control",2,2,"pre"
"MK8MR",5,11,"Häugnung","neu","Control",1,1,"pre"
"MK8MR",4,23,"Iberletsch","neu","Control",0,0,"pre"
"MK8MR",6,25,"Odef","neu","Control",2,2,"pre"
"MK8MR",5,22,"Bingsemöl","neu","Control",1,1,"pre"
"MK8MR",4,5,"Preier","emo","Control",0,0,"pre"
"MK8MR",4,7,"Ismiprämpf","emo","Control",0,0,"pre"
"MK8MR",4,18,"Skibt","neu","Control",0,0,"pre"
"MK8MR",4,21,"Mölauzegt","neu","Control",0,0,"pre"
"MK8MR",3,0,"Vul","neu","Control",-1,1,"pre"
"GI23ON",2,16,"Weforshank","neu","Control",-2,2,"pre"
"GI23ON",5,13,"Bismirbiel","emo","Control",1,1,"pre"
"GI23ON",3,18,"Skibt","neu","Control",-1,1,"pre"
"GI23ON",1,27,"Wunicher","emo","Control",-3,3,"pre"
"GI23ON",7,20,"Struk","neu","Control",3,3,"pre"
"GI23ON",1,10,"Wumeizauch","emo","Control",-3,3,"pre"
"GI23ON",4,7,"Ismiprämpf","emo","Control",0,0,"pre"
"GI23ON",7,25,"Odef","neu","Control",3,3,"pre"
"GI23ON",4,17,"Plüpp","neu","Control",0,0,"pre"
"GI23ON",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"GI23ON",7,3,"Zwelde","emo","Control",3,3,"pre"
"GI23ON",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"GI23ON",1,5,"Preier","emo","Control",-3,3,"pre"
"GI23ON",7,15,"Mege","emo","Control",3,3,"pre"
"GI23ON",4,8,"Glühm","neu","Control",0,0,"pre"
"GI23ON",4,11,"Häugnung","neu","Control",0,0,"pre"
"GI23ON",5,19,"Namistell","neu","Control",1,1,"pre"
"GI23ON",7,12,"Wupforau","emo","Control",3,3,"pre"
"GI23ON",1,29,"Ferandsor","neu","Control",-3,3,"pre"
"GI23ON",1,9,"Rugliebast","emo","Control",-3,3,"pre"
"GI23ON",1,6,"Muschürdur","emo","Control",-3,3,"pre"
"GI23ON",4,26,"Faube","neu","Control",0,0,"pre"
"GI23ON",2,0,"Vul","neu","Control",-2,2,"pre"
"GI23ON",7,1,"Neif","emo","Control",3,3,"pre"
"GI23ON",2,21,"Mölauzegt","neu","Control",-2,2,"pre"
"GI23ON",7,4,"Herklögen","emo","Control",3,3,"pre"
"GI23ON",1,14,"Enkmitas","emo","Control",-3,3,"pre"
"GI23ON",4,24,"Troff","neu","Control",0,0,"pre"
"GI23ON",5,22,"Bingsemöl","neu","Control",1,1,"pre"
"GI23ON",6,23,"Iberletsch","neu","Control",2,2,"pre"
"HN25DF",7,23,"Iberletsch","neu","Control",3,3,"pre"
"HN25DF",7,7,"Ismiprämpf","emo","Control",3,3,"pre"
"HN25DF",7,6,"Muschürdur","emo","Control",3,3,"pre"
"HN25DF",4,5,"Preier","emo","Control",0,0,"pre"
"HN25DF",5,29,"Ferandsor","neu","Control",1,1,"pre"
"HN25DF",7,12,"Wupforau","emo","Control",3,3,"pre"
"HN25DF",4,18,"Skibt","neu","Control",0,0,"pre"
"HN25DF",4,22,"Bingsemöl","neu","Control",0,0,"pre"
"HN25DF",1,9,"Rugliebast","emo","Control",-3,3,"pre"
"HN25DF",7,4,"Herklögen","emo","Control",3,3,"pre"
"HN25DF",6,20,"Struk","neu","Control",2,2,"pre"
"HN25DF",5,19,"Namistell","neu","Control",1,1,"pre"
"HN25DF",2,27,"Wunicher","emo","Control",-2,2,"pre"
"HN25DF",4,25,"Odef","neu","Control",0,0,"pre"
"HN25DF",3,13,"Bismirbiel","emo","Control",-1,1,"pre"
"HN25DF",2,21,"Mölauzegt","neu","Control",-2,2,"pre"
"HN25DF",1,10,"Wumeizauch","emo","Control",-3,3,"pre"
"HN25DF",1,2,"Zimerhubst","emo","Control",-3,3,"pre"
"HN25DF",7,26,"Faube","neu","Control",3,3,"pre"
"HN25DF",7,15,"Mege","emo","Control",3,3,"pre"
"HN25DF",3,17,"Plüpp","neu","Control",-1,1,"pre"
"HN25DF",7,1,"Neif","emo","Control",3,3,"pre"
"HN25DF",7,3,"Zwelde","emo","Control",3,3,"pre"
"HN25DF",7,28,"Bisknirgo","emo","Control",3,3,"pre"
"HN25DF",2,24,"Troff","neu","Control",-2,2,"pre"
"HN25DF",6,16,"Weforshank","neu","Control",2,2,"pre"
